Date,Number of patients
2015/4/1,49
2015/4/2,58
2015/4/3,36
2015/4/4,44
2015/4/5,64
2015/4/6,46
2015/4/7,46
2015/4/8,39
2015/4/9,58
2015/4/10,61
2015/4/11,51
2015/4/12,52
2015/4/13,48
2015/4/14,24
2015/4/15,43
2015/4/16,56
2015/4/17,44
2015/4/18,47
2015/4/19,44
2015/4/20,48
2015/4/21,31
2015/4/22,32
2015/4/23,45
2015/4/24,43
2015/4/25,40
2015/4/26,45
2015/4/27,50
2015/4/28,38
2015/4/29,29
2015/4/30,48
2015/5/1,51
2015/5/2,44
2015/5/3,40
2015/5/4,33
2015/5/5,34
2015/5/6,33
2015/5/7,49
2015/5/8,46
2015/5/9,49
2015/5/10,44
2015/5/11,41
2015/5/12,22
2015/5/13,40
2015/5/14,43
2015/5/15,46
2015/5/16,45
2015/5/17,49
2015/5/18,47
2015/5/19,28
2015/5/20,47
2015/5/21,44
2015/5/22,51
2015/5/23,48
2015/5/24,37
2015/5/25,49
2015/5/26,50
2015/5/27,40
2015/5/28,44
2015/5/29,48
2015/5/30,37
2015/5/31,47
2015/6/1,48
2015/6/2,35
2015/6/3,41
2015/6/4,46
2015/6/5,43
2015/6/6,66
2015/6/7,51
2015/6/8,46
2015/6/9,26
2015/6/10,32
2015/6/11,46
2015/6/12,40
2015/6/13,30
2015/6/14,49
2015/6/15,42
2015/6/16,27
2015/6/17,38
2015/6/18,43
2015/6/19,36
2015/6/20,44
2015/6/21,44
2015/6/22,50
2015/6/23,37
2015/6/24,30
2015/6/25,46
2015/6/26,44
2015/6/27,41
2015/6/28,52
2015/6/29,49
2015/6/30,23
2015/7/1,30
2015/7/2,44
2015/7/3,30
2015/7/4,35
2015/7/5,46
2015/7/6,39
2015/7/7,37
2015/7/8,35
2015/7/9,40
2015/7/10,31
2015/7/11,35
2015/7/12,40
2015/7/13,34
2015/7/14,27
2015/7/15,31
2015/7/16,43
2015/7/17,39
2015/7/18,38
2015/7/19,39
2015/7/20,36
2015/7/21,31
2015/7/22,32
2015/7/23,45
2015/7/24,40
2015/7/25,44
2015/7/26,35
2015/7/27,45
2015/7/28,37
2015/7/29,25
2015/7/30,50
2015/7/31,34
2015/8/1,27
2015/8/2,47
2015/8/3,36
2015/8/4,22
2015/8/5,20
2015/8/6,50
2015/8/7,49
2015/8/8,46
2015/8/9,26
2015/8/10,38
2015/8/11,24
2015/8/12,40
2015/8/13,39
2015/8/14,49
2015/8/15,42
2015/8/16,36
2015/8/17,35
2015/8/18,24
2015/8/19,27
2015/8/20,42
2015/8/21,33
2015/8/22,34
2015/8/23,32
2015/8/24,52
2015/8/25,25
2015/8/26,37
2015/8/27,29
2015/8/28,34
2015/8/29,25
2015/8/30,36
2015/8/31,26
2015/9/1,30
2015/9/2,35
2015/9/3,35
2015/9/4,38
2015/9/5,34
2015/9/6,33
2015/9/7,39
2015/9/8,25
2015/9/9,33
2015/9/10,46
2015/9/11,40
2015/9/12,32
2015/9/13,33
2015/9/14,34
2015/9/15,26
2015/9/16,27
2015/9/17,39
2015/9/18,40
2015/9/19,28
2015/9/20,47
2015/9/21,43
2015/9/22,34
2015/9/23,36
2015/9/24,44
2015/9/25,46
2015/9/26,47
2015/9/27,45
2015/9/28,51
2015/9/29,31
2015/9/30,50
2015/10/1,41
2015/10/2,45
2015/10/3,43
2015/10/4,42
2015/10/5,42
2015/10/6,41
2015/10/7,36
2015/10/8,44
2015/10/9,41
2015/10/10,43
2015/10/11,40
2015/10/12,42
2015/10/13,45
2015/10/14,45
2015/10/15,53
2015/10/16,33
2015/10/17,43
2015/10/18,53
2015/10/19,45
2015/10/20,41
2015/10/21,32
2015/10/22,44
2015/10/23,46
2015/10/24,46
2015/10/25,44
2015/10/26,39
2015/10/27,32
2015/10/28,33
2015/10/29,48
2015/10/30,43
2015/10/31,51
2015/11/1,47
2015/11/2,41
2015/11/3,42
2015/11/4,35
2015/11/5,52
2015/11/6,43
2015/11/7,34
2015/11/8,36
2015/11/9,49
2015/11/10,27
2015/11/11,30
2015/11/12,49
2015/11/13,35
2015/11/14,51
2015/11/15,45
2015/11/16,50
2015/11/17,30
2015/11/18,28
2015/11/19,46
2015/11/20,30
2015/11/21,44
2015/11/22,35
2015/11/23,47
2015/11/24,34
2015/11/25,34
2015/11/26,58
2015/11/27,38
2015/11/28,41
2015/11/29,48
2015/11/30,44
2015/12/1,30
2015/12/2,32
2015/12/3,47
2015/12/4,37
2015/12/5,64
2015/12/6,41
2015/12/7,52
2015/12/8,33
2015/12/9,47
2015/12/10,58
2015/12/11,58
2015/12/12,54
2015/12/13,61
2015/12/14,73
2015/12/15,45
2015/12/16,46
2015/12/17,55
2015/12/18,47
2015/12/19,53
2015/12/20,51
2015/12/21,45
2015/12/22,52
2015/12/23,48
2015/12/24,59
2015/12/25,42
2015/12/26,59
2015/12/27,81
2015/12/28,79
2015/12/29,57
2015/12/30,60
2015/12/31,89
2016/1/1,54
2016/1/2,66
2016/1/3,69
2016/1/4,61
2016/1/5,57
2016/1/6,44
2016/1/7,55
2016/1/8,58
2016/1/9,68
2016/1/10,53
2016/1/11,69
2016/1/12,40
2016/1/13,41
2016/1/14,72
2016/1/15,55
2016/1/16,49
2016/1/17,44
2016/1/18,51
2016/1/19,37
2016/1/20,43
2016/1/21,85
2016/1/22,44
2016/1/23,51
2016/1/24,46
2016/1/25,45
2016/1/26,46
2016/1/27,40
2016/1/28,56
2016/1/29,58
2016/1/30,53
2016/1/31,55
2016/2/1,56
2016/2/2,37
2016/2/3,30
2016/2/4,66
2016/2/5,49
2016/2/6,47
2016/2/7,47
2016/2/8,54
2016/2/9,41
2016/2/10,44
2016/2/11,62
2016/2/12,51
2016/2/13,55
2016/2/14,55
2016/2/15,60
2016/2/16,45
2016/2/17,57
2016/2/18,68
2016/2/19,48
2016/2/20,44
2016/2/21,49
2016/2/22,61
2016/2/23,47
2016/2/24,48
2016/2/25,54
2016/2/26,47
2016/2/27,45
2016/2/28,71
2016/2/29,61
2016/3/1,38
2016/3/2,57
2016/3/3,62
2016/3/4,59
2016/3/5,82
2016/3/6,66
2016/3/7,62
2016/3/8,47
2016/3/9,52
2016/3/10,50
2016/3/11,45
2016/3/12,68
2016/3/13,55
2016/3/14,79
2016/3/15,50
2016/3/16,54
2016/3/17,54
2016/3/18,59
2016/3/19,50
2016/3/20,54
2016/3/21,74
2016/3/22,44
2016/3/23,58
2016/3/24,56
2016/3/25,61
2016/3/26,70
2016/3/27,77
2016/3/28,62
2016/3/29,62
2016/3/30,50
2016/3/31,64
2016/4/1,58
2016/4/2,71
2016/4/3,53
2016/4/4,64
2016/4/5,49
2016/4/6,47
2016/4/7,69
2016/4/8,54
2016/4/9,58
2016/4/10,64
2016/4/11,71
2016/4/12,43
2016/4/13,56
2016/4/14,66
2016/4/15,48
2016/4/16,56
2016/4/17,55
2016/4/18,43
2016/4/19,29
2016/4/20,44
2016/4/21,46
2016/4/22,38
2016/4/23,45
2016/4/24,37
2016/4/25,41
2016/4/26,30
2016/4/27,43
2016/4/28,53
2016/4/29,46
2016/4/30,45
2016/5/1,37
2016/5/2,43
2016/5/3,29
2016/5/4,34
2016/5/5,47
2016/5/6,39
2016/5/7,47
2016/5/8,52
2016/5/9,48
2016/5/10,46
2016/5/11,32
2016/5/12,41
2016/5/13,40
2016/5/14,45
2016/5/15,28
2016/5/16,53
2016/5/17,23
2016/5/18,45
2016/5/19,46
2016/5/20,37
2016/5/21,47
2016/5/22,45
2016/5/23,41
2016/5/24,34
2016/5/25,42
2016/5/26,37
2016/5/27,58
2016/5/28,47
2016/5/29,41
2016/5/30,38
2016/5/31,43
2016/6/1,28
2016/6/2,50
2016/6/3,42
2016/6/4,49
2016/6/5,43
2016/6/6,39
2016/6/7,28
2016/6/8,30
2016/6/9,41
2016/6/10,46
2016/6/11,45
2016/6/12,32
2016/6/13,35
2016/6/14,28
2016/6/15,35
2016/6/16,49
2016/6/17,35
2016/6/18,38
2016/6/19,45
2016/6/20,34
2016/6/21,36
2016/6/22,25
2016/6/23,45
2016/6/24,41
2016/6/25,38
2016/6/26,40
2016/6/27,48
2016/6/28,33
2016/6/29,36
2016/6/30,37
2016/7/1,47
2016/7/2,34
2016/7/3,43
2016/7/4,40
2016/7/5,22
2016/7/6,31
2016/7/7,48
2016/7/8,40
2016/7/9,33
2016/7/10,30
2016/7/11,37
2016/7/12,36
2016/7/13,31
2016/7/14,44
2016/7/15,39
2016/7/16,39
2016/7/17,50
2016/7/18,34
2016/7/19,25
2016/7/20,39
2016/7/21,48
2016/7/22,47
2016/7/23,34
2016/7/24,34
2016/7/25,29
2016/7/26,42
2016/7/27,30
2016/7/28,45
2016/7/29,32
2016/7/30,34
2016/7/31,31
2016/8/1,35
2016/8/2,16
2016/8/3,30
2016/8/4,45
2016/8/5,38
2016/8/6,39
2016/8/7,33
2016/8/8,50
2016/8/9,27
2016/8/10,24
2016/8/11,46
2016/8/12,27
2016/8/13,36
2016/8/14,52
2016/8/15,42
2016/8/16,23
2016/8/17,27
2016/8/18,41
2016/8/19,33
2016/8/20,32
2016/8/21,46
2016/8/22,45
2016/8/23,26
2016/8/24,23
2016/8/25,32
2016/8/26,43
2016/8/27,39
2016/8/28,29
2016/8/29,39
2016/8/30,30
2016/8/31,36
2016/9/1,40
2016/9/2,30
2016/9/3,24
2016/9/4,49
2016/9/5,50
2016/9/6,24
2016/9/7,29
2016/9/8,32
2016/9/9,25
2016/9/10,33
2016/9/11,36
2016/9/12,44
2016/9/13,28
2016/9/14,26
2016/9/15,30
2016/9/16,35
2016/9/17,40
2016/9/18,29
2016/9/19,39
2016/9/20,35
2016/9/21,43
2016/9/22,51
2016/9/23,33
2016/9/24,33
2016/9/25,39
2016/9/26,47
2016/9/27,32
2016/9/28,32
2016/9/29,44
2016/9/30,46
2016/10/1,46
2016/10/2,41
2016/10/3,50
2016/10/4,29
2016/10/5,33
2016/10/6,41
2016/10/7,38
2016/10/8,39
2016/10/9,40
2016/10/10,43
2016/10/11,32
2016/10/12,31
2016/10/13,49
2016/10/14,64
2016/10/15,36
2016/10/16,38
2016/10/17,50
2016/10/18,32
2016/10/19,35
2016/10/20,48
2016/10/21,37
2016/10/22,43
2016/10/23,31
2016/10/24,51
2016/10/25,35
2016/10/26,34
2016/10/27,47
2016/10/28,35
2016/10/29,40
2016/10/30,42
2016/10/31,35
2016/11/1,37
2016/11/2,42
2016/11/3,41
2016/11/4,41
2016/11/5,31
2016/11/6,43
